,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content
0,0,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Kirsten Korosec,Uber Freight expands app to Canada,"Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it’s launching the app in Canada as part of its global expansion plan. The move into Canada will give Uber Freight access to the country’s $68 billio…",http://techcrunch.com/2019/10/30/uber-freight-expands-app-to-canada/,https://techcrunch.com/wp-content/uploads/2019/10/uber-freight.jpg?w=600,2019-10-30T11:37:16Z,"Uber Freight, the Uber business unit that helps truck drivers connect with shipping companies, said Wednesday it’s launching the app in Canada as part of its global expansion plan.
The move into Canada will give Uber Freight access to the country’s $68 billi… [+2181 chars]"
1,1,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Jonathan Shieber,McDonald’s starts selling its Beyond Meat-based “P.L.T.” sandwich in Canada,"McDonald’s first foray into the plant-based protein patty market in North America is launching today in Canada. The company’s “P.L.T.” (plant, lettuce, and tomato) sandwich, which uses patties from Beyond Meat, is now on sale at several locations in Canada. T…",http://techcrunch.com/2019/09/30/mcdonalds-starts-selling-its-beyond-meat-based-p-l-t-sandwich-in-canada/,https://techcrunch.com/wp-content/uploads/2019/09/Screen-Shot-2019-09-30-at-6.26.56-AM.png?w=764,2019-09-30T14:20:14Z,"McDonald’s first foray into the plant-based protein patty market in North America is launching today in Canada.
The company’s “P.L.T.” (plant, lettuce, and tomato) sandwich, which uses patties from Beyond Meat, is now on sale at several locations in Canada.… [+3697 chars]"
2,2,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",Ian Austen and Dan Bilefsky,Canada Votes Today. Here’s What You Need to Know,Prime Minister Justin Trudeau faces the political battle of his life in a tight race.,https://www.nytimes.com/2019/10/21/world/canada/canada-election.html,https://static01.nyt.com/images/2019/10/21/world/21canada-explainer/21canada-explainer-facebookJumbo.jpg,2019-10-21T09:00:14Z,"Mr. Scheers authenticity was also challenged when it emerged during the campaign that he has also held United States citizenship most of his life.
Jagmeet Singh, the 40-year-old leader of the N.D.P., made history as the first nonwhite person to lead a major … [+1008 chars]"
3,3,"{'id': 'bbc-news', 'name': 'BBC News'}",optional,Rugby World Cup: New Zealand thrash Canada with nine tries,Defending champions New Zealand run in nine tries to thrash Canada 63-0 and record their second convincing win at the World Cup.,https://www.bbc.co.uk/sport/rugby-union/49903819,https://ichef.bbci.co.uk/onesport/cps/624/cpsprodpb/117B/production/_109057440_1178539167-8e24ac851451913db29e3e6e3f9b22b444c05b3e.jpg,2019-10-02T12:10:05Z,"Beauden Barrett, playing alongside his two brothers, scored his 34th try for New Zealand
<table><tr><th>2019 Rugby World Cup: New Zealand v Canada</th></tr>
<tr><td>New Zealand: (28) 63</td></tr><tr><td>Tries: Penalty try, J Barrett, Williams, B Barrett, Io… [+1350 chars]"
4,4,"{'id': 'bbc-news', 'name': 'BBC News'}",https://www.facebook.com/bbcnews,Canada election: Party leaders clash in first election debate,Some of the most heated exchanges in Quebec were over climate change and energy issues.,https://www.bbc.co.uk/news/world-us-canada-49901447,https://ichef.bbci.co.uk/news/1024/branded_news/13431/production/_109079887_hi057021192.jpg,2019-10-03T04:02:02Z,"Image copyrightPool via ReutersImage caption
 Four party leaders, with TVA network host Pierre Bruneau (centre), prior to the election debate
The leaders of Canada's main parties clashed over the environment in the country's first big election debate. 
The… [+4642 chars]"
5,5,"{'id': None, 'name': 'Lifehacker.com'}",Josh Ocampo,Should You Book a Flight Through an Airline You've Never Heard of?,"In your quest to find an especially great deal for a flight, you’ll likely come across airlines that seem made up—take Bearskin Airlines, for example, which operates out of Ontario, Canada and is very real. Or Chair Airlines, a Swiss airline that flies throug…",https://lifehacker.com/should-you-book-a-flight-through-an-airline-youve-never-1839304520,"https://i.kinja-img.com/gawker-media/image/upload/c_fill,f_auto,fl_progressive,g_center,h_675,pg_1,q_80,w_1200/dyqk5s2jwqyqiad0am1b.jpg",2019-10-24T17:30:00Z,"In your quest to find an especially great deal for a flight, youll likely come across airlines that seem made uptake Bearskin Airlines, for example, which operates out of Ontario, Canada and is very real. Or Chair Airlines, a Swiss airline that flies througho… [+4057 chars]"
6,6,"{'id': 'cnn', 'name': 'CNN'}","David Shortell, CNN",Justice Department sues California over air pollution agreement with Canada,"The Justice Department sued California on Wednesday, claiming that the state bypassed federal authority when it entered into an environmental agreement with the Canadian province of Quebec to combat air pollution.",https://www.cnn.com/2019/10/23/politics/california-doj-cap-and-trade-canada-suit/index.html,https://cdn.cnn.com/cnnnext/dam/assets/120221084826-smoke-stacks-air-pollution-chemical-plant-story-top.jpg,2019-10-23T16:19:49Z,"Washington (CNN)The Justice Department sued California on Wednesday, claiming that the state bypassed federal authority when it entered into an environmental agreement with the Canadian province of Quebec to combat air pollution. 
In a complaint filed in Cal… [+2123 chars]"
7,7,"{'id': 'the-new-york-times', 'name': 'The New York Times'}",The Editorial Board,"Justin Trudeau, Humbled, Gets a Second Chance","He survived scandal and self-inflicted wounds, but will have to lead Canada as part of a coalition with progressive parties.",https://www.nytimes.com/2019/10/22/opinion/canada-election-trudeau.html,https://static01.nyt.com/images/2019/10/22/opinion/22trudeauWeb/22trudeauWeb-facebookJumbo.jpg,2019-10-22T23:28:52Z,"Justin Trudeaus victory in Canadas national elections on Monday followed what he called one of the nastiest campaigns in Canadian history. That may be true, to the degree that much of the campaign was about him and some bad decisions he made, and it featured … [+1505 chars]"
8,8,"{'id': 'the-verge', 'name': 'The Verge'}",Jay Peters,Apple News Plus is now available in the UK and Australia,"Today, Apple announced that Apple News Plus, its premium news subscription service, is now available in the UK for £9.99 a month and in Australia for $14.99 a month. It’s the first expansion of the service since its March launch; previously, it had only been …",https://www.theverge.com/2019/9/30/20892352/apple-news-plus-now-available-uk-australia-magazine-news-subscription-service,https://cdn.vox-cdn.com/thumbor/2BLfhjF8kabp4HdJG3O-H7jUUt0=/0x146:2040x1214/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/15999094/vpavic_190329_3332_0045.jpg,2019-09-30T23:36:39Z,"Its the first global expansion of the app
Photo by Vjeran Pavic / The Verge
Today, Apple announced that Apple News Plus, its premium news subscription service, is now available in the UK for £9.99 a month and in Australia for $14.99 a month. Its the first e… [+1252 chars]"
9,9,"{'id': 'techcrunch', 'name': 'TechCrunch'}",Catherine Shu,Fabric raises $110 million Series B to expand its network of automated fulfillment centers in the U.S.,"Fabric, the startup that wants to make automated logistics available to retailers of all sizes, announced today it has raised $110 million in Series B funding. The round was led by Corner Ventures, with participation from Aleph, Canada Pension Plan Investment…",http://techcrunch.com/2019/10/23/fabric-raises-110-million-series-b-to-expand-its-network-of-automated-fulfillment-centers-in-the-u-s/,https://techcrunch.com/wp-content/uploads/2019/10/Fabric-funding-2.png?w=711,2019-10-23T11:00:10Z,"Fabric, the startup that wants to make automated logistics available to retailers of all sizes, announced today it has raised $110 million in Series B funding. The round was led by Corner Ventures, with participation from Aleph, Canada Pension Plan Investment… [+3387 chars]"
10,10,"{'id': None, 'name': 'Canoe.com'}",optional,Canada Post racking up close to $1M a year in parking fines - CANOE,"Canada Post racking up close to $1M a year in parking fines CANOE Canada Post has paid almost $7.5M in parking fines in past decade CTV News Canada Post racking up close to $1 million a year in parking fines, data shows CP24 Toronto's Breaking News Canada Pos…",https://canoe.com/news/national/canada-post-racking-up-close-to-1m-a-year-in-parking-fines,https://postmediacanoe.files.wordpress.com/2019/09/canada-post.jpg,2019-09-29T20:56:00Z,"TORONTO — Canada Post is racking up close to $1 million annually in parking tickets as drivers struggle to navigate increasingly congested city streets, data show.
The information, obtained by The Canadian Press through freedom of information requests, indic… [+3511 chars]"
11,11,"{'id': None, 'name': 'Ctvnews.ca'}",Daniel J. Rowe,Air Canada staff will no longer greet 'ladies and gentlemen' onboard planes - CTV News,Air Canada staff will no longer greet 'ladies and gentlemen' onboard planes CTV News Air Canada drops ‘ladies and gentlemen’ for gender neutral ‘everyone’ NEWS.com.au Air Canada Will Now Use Gender Neutral Announcements Onboard Flights Simple Flying Air Canad…,https://montreal.ctvnews.ca/air-canada-staff-will-no-longer-greet-ladies-and-gentlemen-onboard-planes-1.4636694,https://www.ctvnews.ca/polopoly_fs/1.3279338.1486729121!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-13T13:58:00Z,"MONTREAL -- Flight attendants at Air Canada will no longer greet passengers as ""ladies and gentlemen"" or ""mesdames et messieurs"" as they have for years.
Flight staff will no longer use gender terms in boarding announcements as the company will be replacing s… [+536 chars]"
12,12,"{'id': None, 'name': 'Starsandstripesfc.com'}",Parker Cleveland,Nations League recap - USA 0-2 Canada: An abysmal loss up north - Stars and Stripes FC,"Nations League recap - USA 0-2 Canada: An abysmal loss up north Stars and Stripes FC Canada vs. United States - Football Match Report - October 15, 2019 ESPN BTC: USMNT Efficient vs. Cuba in Nations League U.S. Soccer Canada 2, United States 0 | 2019 Concacaf…",https://www.starsandstripesfc.com/2019/10/15/20916454/nations-league-recap-usa-0-2-canada-an-abysmal-loss-up-north,https://cdn.vox-cdn.com/thumbor/zco-SqmVGf720Pe4Rcl_9ArGKMY=/0x0:3936x2061/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/19291241/1176119156.jpg.jpg,2019-10-16T01:54:16Z,"The US Mens National Team was back in Nations League action as it looked for its second win of the tournament at BMO Field in Canada. It would not come for the Americans. Rather, Canada was determined to play defensively and try to counter or take advantage o… [+4541 chars]"
