,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content
0,0,"{'id': None, 'name': 'Ctvnews.ca'}",Digital Producer,Halifax police arrest 18 Extinction Rebellion protesters at Macdonald Bridge - CTV News,"More than a dozen people were arrested and released following a planned protest that prompted the closure of the Macdonald Bridge, which links Halifax and Dartmouth, Monday morning.",https://atlantic.ctvnews.ca/halifax-police-arrest-18-extinction-rebellion-protesters-at-macdonald-bridge-1.4627009,https://www.ctvnews.ca/polopoly_fs/1.4627471.1570463760!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-07T18:47:00Z,"More than a dozen people were arrested and released following a planned protest that prompted the closure of the Macdonald Bridge, which links Halifax and Dartmouth, Monday morning.
There was a heavy police presence on the Dartmouth side of the bridge for th… [+5802 chars]"
1,1,"{'id': None, 'name': 'Design-milk.com'}",Caroline Williamson,A Gus* Modern x LUUM Textiles Mashup That Creates Playful Results,Gus* Modern launched a collection with LUUM Textiles that reimagines the Halifax Chair and Porter End Table with new colorways based on LUMM's Knurl fabric.,https://design-milk.com/a-gus-modern-x-luum-textiles-mashup-that-creates-playful-results/,https://design-milk.com/images/2019/10/Gus-x-Luum-textile-Collection-1.jpg,2019-10-17T17:00:29Z,Canadian furniture favorites Gus* Modern just launched a limited edition collection with LUUM Textiles that resulted in delightful color combinations. The collaboration reimagines the Gus* Modern Halifax Chair and Porter End Table with three new colorways cen… [+344 chars]
2,2,"{'id': None, 'name': 'Ctvnews.ca'}",THE CANADIAN PRESS,Man falls off Macdonald Bridge after slow speed chase with police - CTV News,Man falls off Macdonald Bridge after slow speed chase with police CTV News View full coverage on Google News,https://atlantic.ctvnews.ca/man-falls-off-macdonald-bridge-after-slow-speed-chase-with-police-1.4647579,https://www.ctvnews.ca/polopoly_fs/1.4647781.1571670924!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-21T13:07:00Z,"HALIFAX -- Nova Scotia's police watchdog is investigating after a 29-year-old man fell to his death from a Halifax bridge following a ""slow-speed pursuit"" involving municipal officers.
The Serious Incident Response Team, or SIRT, confirmed Monday it's invest… [+1149 chars]"
3,3,"{'id': 'mashable', 'name': 'Mashable'}",Rachel Thompson,72 female MPs sign open letter condemning 'colonial' media coverage of Meghan Markle,72 female politicians in the UK have written an open letter to Meghan Markle pledging their solidarity with her as she and Prince Harry take a stand against several British media outlets. Holly Lynch MP — Labour MP for Halifax — tweeted an image of the letter…,https://mashable.com/article/mp-letter-meghan-markle/,https://mondrian.mashable.com/2019%252F10%252F30%252F17%252F63540c59fe494d61a754f341bf64addc.a6f38.jpg%252F1200x630.jpg?signature=irOubQY-tqLrq4bug2AcYupLUro=,2019-10-30T13:02:40Z,"72 female politicians in the UK have written an open letter to Meghan Markle pledging their solidarity with her as she and Prince Harry take a stand against several British media outlets. 
Holly Lynch MP Labour MP for Halifax tweeted an image of the letter, … [+2162 chars]"
4,4,"{'id': None, 'name': 'Ctvnews.ca'}",Michael Tutton,"Power outages, fallen trees as Maritimes rocked by strong fall storm - CTV News","Power outages, fallen trees as Maritimes rocked by strong fall storm CTV News Thousands of Maritimers without power as storm brings high winds, heavy rain Global News 'Weather bomb' hits N.S. with power outages, downed trees, flooding CBC.ca View full coverag…",https://atlantic.ctvnews.ca/power-outages-fallen-trees-as-maritimes-rocked-by-strong-fall-storm-1.4642545,https://www.ctvnews.ca/polopoly_fs/1.4643026.1571332993!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-17T21:44:00Z,"HALIFAX -- Thousands of Maritimers lost power on Thursday as a slow-moving fall storm crawled through the region, bringing downpours, powerful gusts and toppled trees.
Forecasters said sustained winds of about 60 kilometres per hour hit parts of Nova Scotia,… [+1993 chars]"
5,5,"{'id': None, 'name': 'Thechronicleherald.ca'}",Andrew Rankin,UPDATED: Province of Nova Scotia bans street checks - TheChronicleHerald.ca,UPDATED: Province of Nova Scotia bans street checks TheChronicleHerald.ca Head of N.S. prosecution service says bill ending arbitration a 'disaster' HalifaxToday.ca Projects aimed at preventing sexual violence on N.S. campuses get funding CBC.ca Legal experts…,https://www.thechronicleherald.ca/news/local/updated-province-of-nova-scotia-bans-street-checks-365477/,https://www.thechronicleherald.ca/media/photologue/photos/cache/mark_furey_medium.jpg,2019-10-19T15:51:06Z,"HALIFAX, N.S. — Lynn Jones saw the ban as a particular victory for the leaders of her community who simply refused to tolerate police street checks. 
Justice Minister Mark Furey’s announcement on Friday to move what was a temporary moratorium on street check… [+4002 chars]"
6,6,"{'id': None, 'name': 'Halifaxtoday.ca'}",HalifaxToday Staff,Blue-green algae risk advisory for Lake Micmac has been lifted - HalifaxToday.ca,Blue-green algae risk advisory for Lake Micmac has been lifted HalifaxToday.ca,https://www.halifaxtoday.ca/local-news/blue-green-algae-risk-advisory-for-lake-micmac-has-been-lifted-1755951,https://www.vmcdn.ca/f/files/halifaxtoday/images/animals/042219-shubie-park-lake-micmac-img_8978.jpg;w=630,2019-10-18T18:53:00Z,"NEWS RELEASEHALIFAX REGIONAL MUNICIPALITY*************************The Halifax Regional Municipality is advising residents that the blue-green algae risk advisory previously in effect for Lake Micmac in Dartmouth has been lifted.
The off-leash dog area of Shu… [+1455 chars]"
7,7,"{'id': None, 'name': 'Mississauga.com'}",NaN,Scientist faces criticism on red meat study - Waterloo Chronicle,Scientist faces criticism on red meat study Waterloo Chronicle View full coverage on Google News,https://www.mississauga.com/community-story/9631621-scientist-faces-criticism-on-red-meat-study/,https://www.waterloochronicle.ca/Contents/Images/Communities/Waterloo_1200x630.png,2019-10-06T03:06:46Z,"HALIFAX A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.
Dalhousie University's Bradley Johnston said Satu… [+1334 chars]"
8,8,"{'id': None, 'name': 'Ctvnews.ca'}",Michael MacDonald,Liberals bracing for losses in Atlantic Canada as polls open on the East Coast - CTV News,"Liberals bracing for losses in Atlantic Canada as polls open on the East Coast CTV News Natural resources, jobs and taxes in Andrew Scheer's letter to Dwight Ball CBC.ca Hundreds in Calgary attend Justin Trudeau rally Edmonton Journal How Justin Trudeau and A…",https://election.ctvnews.ca/liberals-bracing-for-losses-in-atlantic-canada-as-polls-open-on-the-east-coast-1.4648317,https://www.ctvnews.ca/polopoly_fs/1.4648355.1571691338!/httpImage/image.jpg_gen/derivatives/landscape_620/image.jpg,2019-10-21T20:56:00Z,HALIFAX -- Four years after Atlantic Canadians gave Justin Trudeau a sweeping electoral endorsement -- handing his Liberals all 32 of the region's seats -- the party is bracing for losses that could have a significant impact on the final tally later tonight.
9,… [+3201 chars],NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
