,Unnamed: 0,source,author,title,description,url,urlToImage,publishedAt,content
0,0,"{'id': None, 'name': 'Halifaxtoday.ca'}",The Conversation,"Decision to deploy genetically modified mosquitoes not made responsibly, researchers say - HalifaxToday.ca","Decision to deploy genetically modified mosquitoes not made responsibly, researchers say HalifaxToday.ca",https://www.halifaxtoday.ca/local-news/decision-to-deploy-genetically-modified-mosquitoes-not-made-responsibly-researchers-say-1743841,https://www.vmcdn.ca/f/files/baytoday/images/outdoors/mosquito-2017.jpg;w=630,2019-10-14T15:53:00Z,"This article, written by Natalie Kofler, University of Illinois at Urbana-Champaign; Françoise Baylis, Dalhousie University; Graham Dellaire, Dalhousie University, and Landon J Getz, Dalhousie University, originally appeared on The Conversation and has been r… [+8654 chars]"
1,1,"{'id': None, 'name': 'Mississauga.com'}",NaN,Scientist faces criticism on red meat study - Waterloo Chronicle,Scientist faces criticism on red meat study Waterloo Chronicle View full coverage on Google News,https://www.mississauga.com/community-story/9631621-scientist-faces-criticism-on-red-meat-study/,https://www.waterloochronicle.ca/Contents/Images/Communities/Waterloo_1200x630.png,2019-10-06T03:06:46Z,"HALIFAX A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.
Dalhousie University's Bradley Johnston said Satu… [+1334 chars]"
2,2,"{'id': None, 'name': 'Thetelegram.com'}",Sharon Kirkey,"No, beef isn't bad for you: Scientists conclude there is no need to eat less red or processed meat - The Telegram","No, beef isn't bad for you: Scientists conclude there is no need to eat less red or processed meat The Telegram Red Meat Not So Bad For You After All Mother Jones Mis-steak: Researchers find red meat, processed food not as bad for health as previously thought…",https://www.thetelegram.com/news/canada/no-beef-isnt-bad-for-you-scientists-conclude-there-is-no-need-to-eat-less-red-or-processed-meat-358509/,https://www.thetelegram.com/media/photologue/photos/cache/meat-1png_medium,2019-10-05T19:44:25Z,"New guidelines certain to be celebrated by enthusiasts of the carnivore diet and denounced by others as nutritional heresy recommend most adults shouldn’t worry about eating less red or processed meat.
The recommendations — which conflict with virtually ever… [+7292 chars]"
3,3,"{'id': None, 'name': 'Runningmagazine.ca'}",Canadian Running,Red meat: study shows the danger may be less than we thought - Canadian Running Magazine,"Red meat: study shows the danger may be less than we thought Canadian Running Magazine To meat, or not to meat: Here's what you need to know about the latest study The Globe and Mail Your doctor may be wrong about red meat: Study The Straits Times ‘Totally bi…",https://runningmagazine.ca/health-nutrition/red-meat-study-shows-the-danger-may-be-less-than-we-thought/,https://runningmagazine.ca/wp-content/uploads/2014/02/139736560-e1547155305713.jpg,2019-10-02T20:05:41Z,"Runners who derive a significant portion of their protein and iron needs by consuming red meat, despite the warnings about the risk of heart disease and cancer are encouraged by the results of a recent review of the evidence on the subject, which found that w… [+2416 chars]"
4,4,"{'id': None, 'name': 'Castanet.net'}",NaN,Study: red meat not so bad? - Canada News - Castanet.net,A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.,https://www.castanet.net/news/Canada/267557/Study-red-meat-not-so-bad,https://www.castanet.net/content/2019/10/CPT10122897_p3410525.jpg,2019-10-06T13:55:00Z,"A Canadian researcher who co-led a study that challenges well-worn advice to limit meat consumption has responded to criticisms he should have disclosed past ties to the global meat and food industry.
Dalhousie University's Bradley Johnston said Saturday tha… [+2269 chars]"
5,5,"{'id': None, 'name': 'Sciencedaily.com'}",NaN,No need to cut down red and processed meat: Study,"Contrary to previous advice, five new systematic reviews suggest that most people can continue to eat red and processed meat as they do now. The major studies have found cutting back has little impact on health.",https://www.sciencedaily.com/releases/2019/09/190930215122.htm,https://www.sciencedaily.com/images/2019/09/190930215122_1_540x360.jpg,2019-10-01T01:51:22Z,Most people can continue to eat red and processed meat as they do now. A major study led by researchers at McMaster and Dalhousie universities has found cutting back has little impact on health.A panel of international scientists systematically reviewed the e… [+3331 chars]
6,6,"{'id': None, 'name': 'Globalnews.ca'}",Michelle McQuigge,Experts say zero-tolerance policies aimed at stopping bullying aren’t working - Global News,"Experts say zero-tolerance policies aimed at stopping bullying aren’t working Global News Zero-tolerance policies aimed at stopping bullying not working, experts say CBC.ca Zero-tolerance policies aimed at stopping bullying not working, say experts CTV News V…",http://globalnews.ca/news/6019367/bullying-zero-tolerance-policies/,https://shawglobalnews.files.wordpress.com/2019/10/selvey-1.jpg?quality=70&strip=all&w=720&h=379&crop=1,2019-10-11T01:27:52Z,"TORONTO – The shocking death of a 14-year-old Ontario boy who was stabbed outside his high school raises questions about the effectiveness of the anti-bullying campaigns that have gained prominence in Canada in recent years, those with expertise in the matter… [+4232 chars]"
7,7,"{'id': 'the-globe-and-mail', 'name': 'The Globe And Mail'}",NaN,"To meat, or not to meat: Here's how good or bad a carnivorous diet is - The Globe and Mail","To meat, or not to meat: Here's how good or bad a carnivorous diet is The Globe and Mail Your doctor may be wrong about red meat: Study The Straits Times ‘Totally bizarre!’ — nutritionists see red over study downplaying the health risks of red meat MarketWatc…",https://www.theglobeandmail.com/life/health-and-fitness/article-to-meat-or-not-to-meat-heres-how-good-or-bad-is-a-carnivorous-diet/,https://www.theglobeandmail.com/resizer/22GCW3ZSzaxabzk3fWRmHkgHBu4=/1200x0/filters:quality(80)/arc-anglerfish-tgam-prod-tgam.s3.amazonaws.com/public/M5XFEJ6QINFJBJSWXQPY5KP7EE.JPG,2019-10-02T15:28:20Z,"Leslie Beck, a Toronto-based private practice dietitian, is Director of Food and Nutrition at Medcan.
OZIER MUHAMMAD/The New York Times News Service
Talk about a major dietary flip flop. Findings published this week in the Annals of Internal Medicine conclu… [+5335 chars]"
8,8,"{'id': None, 'name': 'Jordantimes.com'}",NaN,Should you keep eating red meat? - Jordan Times,"By Ryan W. MillerShould you stop eating red meat for health reasons?That’s the question rocking the nutrition and scientific community after guidelines published in a peer-reviewed journal said people should continue eating red meat, running counter to what m…",https://www.jordantimes.com/news/features/should-you-keep-eating-red-meat,NaN,2019-10-06T19:53:15Z,"By Ryan W. Miller
Should you stop eating red meat for health reasons?
Thats the question rocking the nutrition and scientific community after guidelines published in a peer-reviewed journal said people should continue eating red meat, running counter to wha… [+6114 chars]"
9,9,"{'id': None, 'name': 'Bustle.com'}",NaN,A New Study Says Red Meat Isn't Bad For You — But Scientists Disagree - Bustle,A New Study Says Red Meat Isn't Bad For You — But Scientists Disagree Bustle Your doctor may be wrong about red meat: Study The Straits Times ‘Totally bizarre!’ — nutritionists see red over study downplaying the health risks of red meat MarketWatch New Study …,https://www.bustle.com/p/red-meat-isnt-unhealthy-a-new-study-says-18815902,https://imgix.bustle.com/uploads/shutterstock/2019/10/2/c4e16774-a924-44af-9546-c9059cf24f61-shutterstock-1255329469.jpg?w=1200&h=630&q=70&fit=crop&crop=faces&fm=jpg,2019-10-02T16:14:00Z,"For years, dietary advice has suggested that people should lower their intake of red and processed meats because of potential health issues, including higher risk of cardiovascular illnesses and cancers. Now, a new and controversial review of the science arou… [+7143 chars]"
